sepal length (cm),sepal width (cm)
4.8,3.1
5.2,3.5
4.6,3.2
4.5,2.3
5.5,2.6
5.5,4.2
6.7,3.0
5.7,2.6
5.0,3.5
5.4,3.4
4.9,3.1
4.8,3.4
6.3,3.4
5.7,2.5
5.2,4.1
6.0,2.2
6.0,2.9
7.2,3.2
4.6,3.1
5.7,2.9
5.8,2.7
6.7,3.1
4.6,3.4
7.7,2.6
6.4,2.7
6.8,3.2
5.6,2.5
7.2,3.0
6.7,3.1
6.0,2.2
5.7,2.8
6.7,3.1
6.2,2.9
5.1,3.4
5.1,2.5
4.9,2.4
6.1,2.8
6.4,3.2
6.7,3.0
5.9,3.0
5.6,2.7
4.7,3.2
6.9,3.2
6.3,3.3
5.0,3.6
4.9,3.1
4.9,3.1
4.9,3.0
5.1,3.8
4.9,2.5
6.2,3.4
4.6,3.6
7.1,3.0
5.6,3.0
5.7,3.8
4.8,3.4
6.6,2.9
5.5,2.5
5.9,3.0
6.4,3.2
6.4,2.8
5.1,3.5
5.4,3.9
5.4,3.7
6.3,2.8
5.9,3.2
6.8,3.0
6.3,2.5
6.2,2.8
7.3,2.9
5.5,2.4
6.3,2.7
5.1,3.8
6.5,3.0
7.7,2.8
6.6,3.0
5.7,4.4
6.2,2.2
5.7,3.0
5.0,3.4
4.8,3.0
6.1,3.0
5.7,2.8
6.3,2.9
5.8,2.7
7.4,2.8
5.1,3.8
5.6,2.9
6.4,2.9
7.7,3.0
6.5,3.2
4.8,3.0
5.1,3.3
6.7,2.5
4.4,3.0
5.0,3.4
5.6,2.8
5.0,2.3
5.5,2.4
6.0,3.0
6.5,3.0
5.1,3.5
5.0,3.3
5.8,4.0
6.5,3.0
7.6,3.0
5.8,2.6
5.8,2.7
5.8,2.7
6.3,3.3
7.0,3.2
5.0,3.0
